site,feature,pair_sides,supported_pair_sides,equal_pair_mean_matched,equal_pair_mean_unmatched,equal_pair_mean_difference
hill,absolute_amplitude,272,249,0.38955933969179063,0.35963348928342576,0.02992585040836488
hill,amplitude,272,249,-0.01649869815768561,-0.008709546113162,-0.007789152044523609
hill,duration_hours,272,249,2.6485909340753904,2.7166384370321506,-0.06804750295676035
hill,power_range,272,249,0.4639018267095799,0.43151673939521784,0.032385087314362127
hill,power_start,272,249,0.5091010053358579,0.5061496014946523,0.002951403841205622
hill,upward_fraction,272,249,0.4910704239857705,0.4924069010137279,-0.0013364770279574994
hill,wind_prewindow_ms,272,249,9.253803275755882,9.195101778708109,0.058701497047772666
lahaute,absolute_amplitude,272,249,0.3137724261113733,0.2815666261573269,0.0322057999540464
lahaute,amplitude,272,249,0.009570450755238241,-0.0009636853151687678,0.01053413607040701
lahaute,duration_hours,272,249,2.598346455270614,2.6545197883811276,-0.05617333311051383
lahaute,power_range,272,249,0.36083856717151935,0.32264486429218164,0.03819370287933776
lahaute,power_start,272,249,0.42004864386250207,0.42538436229849275,-0.005335718435990693
lahaute,upward_fraction,272,249,0.5118835106335152,0.4978648547911449,0.014018655842370283
lahaute,wind_prewindow_ms,272,249,7.748288630935344,7.821732295903238,-0.07344366496789467
pizhou,absolute_amplitude,272,253,0.41028943775150706,0.37883529098867913,0.031454146762827956
pizhou,amplitude,272,253,-0.02166174109996,-0.011679797151860518,-0.009981943948099484
pizhou,duration_hours,272,253,2.7539802883141338,2.7370430792065674,0.01693720910756649
pizhou,power_range,272,253,0.47712887416831223,0.4454032304568536,0.03172564371145862
pizhou,power_start,272,253,0.5486849062181447,0.5450332931518614,0.003651613066283413
pizhou,upward_fraction,272,253,0.4770941825861292,0.48261411916474733,-0.005519936578618155
pizhou,wind_prewindow_ms,272,253,6.373588643105695,6.372109559785143,0.001479083320552232
suining,absolute_amplitude,272,249,0.3797118249097677,0.3497902081676672,0.029921616742100456
suining,amplitude,272,249,-0.0038557081836609157,-0.0004937604955118996,-0.0033619476881490157
suining,duration_hours,272,249,2.6232636798244293,2.6677632892286525,-0.044499609404222595
suining,power_range,272,249,0.43973244233508757,0.41175510507693036,0.027977337258157244
suining,power_start,272,249,0.49931308213985387,0.49281340417033836,0.006499677969515479
suining,upward_fraction,272,249,0.49569081115576274,0.5004252662787738,-0.0047344551230111085
suining,wind_prewindow_ms,272,249,6.308287961577432,6.225321997611196,0.08296596396623512
yandun,absolute_amplitude,272,257,0.4287612893626333,0.38667998812436427,0.042081301238269
yandun,amplitude,272,257,-0.022916995243607952,0.0004643095655632237,-0.023381304809171177
yandun,duration_hours,272,257,2.7897976073148794,2.809695351968135,-0.01989774465325559
yandun,power_range,272,257,0.5141584627766713,0.47664680752037775,0.037511655256293554
yandun,power_start,272,257,0.358267314096765,0.34729406321511247,0.010973250881652463
yandun,upward_fraction,272,257,0.4712116983126038,0.49472842129126254,-0.023516722978658755
yandun,wind_prewindow_ms,272,257,5.646234115751066,5.6490969282677,-0.0028628125166341627
