site,config_a,config_b,side,feature,mean_matched,events_matched,valid_feature_events_matched,mean_unmatched,events_unmatched,valid_feature_events_unmatched,mean_difference
hill,adaptive_corridor,endpoint_corridor_0.100,right,absolute_amplitude,0.3531960466510334,7174,7174,0.2877982532844559,1778,1778,0.06539779336657747
hill,adaptive_corridor,endpoint_corridor_0.100,right,power_range,0.35364485877027324,7174,7174,0.28908445088073814,1778,1778,0.0645604078895351
hill,adaptive_corridor,endpoint_corridor_0.100,right,power_start,0.5054779415066257,7174,7174,0.46526079131590714,1778,1778,0.04021715019071859
hill,adaptive_corridor,endpoint_corridor_0.100,right,upward_fraction,0.4930303875104544,7174,7174,0.5281214848143982,1778,1778,-0.03509109730394383
hill,adaptive_corridor,endpoint_corridor_0.100,right,wind_prewindow_ms,9.120502692091566,7174,7174,8.792850565610864,1778,1778,0.32765212648070197
hill,adaptive_corridor,financial_tail_1h,left,duration_hours,1.0206508135168961,1598,1598,1.139027043829655,6434,6434,-0.1183762303127589
hill,adaptive_corridor,financial_tail_1h,left,amplitude,-0.031506515309171076,1598,1598,0.005107929141031143,6434,6434,-0.03661444445020222
hill,adaptive_corridor,financial_tail_1h,left,absolute_amplitude,0.40734733867051925,1598,1598,0.33234122331256505,6434,6434,0.0750061153579542
hill,adaptive_corridor,financial_tail_1h,left,power_range,0.40813003208343557,1598,1598,0.33651405719396393,6434,6434,0.07161597488947163
hill,adaptive_corridor,financial_tail_1h,left,power_start,0.5419607700281146,1598,1598,0.49274708965203506,6434,6434,0.04921368037607954
hill,adaptive_corridor,financial_tail_1h,left,upward_fraction,0.4693366708385482,1598,1598,0.506372396642835,6434,6434,-0.03703572580428677
hill,adaptive_corridor,financial_tail_1h,left,wind_prewindow_ms,9.480977139114389,1598,1598,8.99381191476542,6434,6434,0.4871652243489688
hill,adaptive_corridor,financial_tail_1h,right,duration_hours,1.141113892365457,1598,1598,1.4015544041450778,579,579,-0.2604405117796209
hill,adaptive_corridor,financial_tail_1h,right,amplitude,-0.027921949716718034,1598,1598,-0.049853846715665166,579,579,0.021931896998947133
hill,adaptive_corridor,financial_tail_1h,right,absolute_amplitude,0.41716340412309694,1598,1598,0.3924323132171735,579,579,0.02473109090592346
hill,adaptive_corridor,financial_tail_1h,right,power_range,0.4232530580750421,1598,1598,0.42337194426701674,579,579,-0.00011888619197464312
hill,adaptive_corridor,financial_tail_1h,right,power_start,0.5413156959659848,1598,1598,0.5500795105647595,579,579,-0.008763814598774622
hill,adaptive_corridor,financial_tail_1h,right,upward_fraction,0.4693366708385482,1598,1598,0.4680483592400691,579,579,0.001288311598479086
hill,adaptive_corridor,financial_tail_1h,right,wind_prewindow_ms,9.493952760845113,1598,1598,9.714709833804807,579,579,-0.22075707295969416
hill,adaptive_corridor,financial_tail_2h,left,duration_hours,1.6516464471403813,577,577,1.0739771965124079,7455,7455,0.5776692506279735
hill,adaptive_corridor,financial_tail_2h,left,amplitude,-0.02485609999125309,577,577,-0.0004213314118991239,7455,7455,-0.024434768579353967
hill,adaptive_corridor,financial_tail_2h,left,absolute_amplitude,0.43495923734958636,577,577,0.34047659262747443,7455,7455,0.09448264472211193
hill,adaptive_corridor,financial_tail_2h,left,power_range,0.43828286925230026,577,577,0.343988466760123,7455,7455,0.09429440249217724
hill,adaptive_corridor,financial_tail_2h,left,power_start,0.5240796082356298,577,577,0.5008711135310747,7455,7455,0.023208494704555105
hill,adaptive_corridor,financial_tail_2h,left,upward_fraction,0.49220103986135183,577,577,0.49953051643192486,7455,7455,-0.007329476570573035
hill,adaptive_corridor,financial_tail_2h,left,wind_prewindow_ms,9.221119370782809,577,577,9.080644057808694,7455,7455,0.14047531297411453
hill,adaptive_corridor,financial_tail_2h,right,duration_hours,2.300693240901213,577,577,2.843258426966292,890,890,-0.5425651860650791
hill,adaptive_corridor,financial_tail_2h,right,amplitude,-0.025460718152296256,577,577,-0.06208443250902273,890,890,0.03662371435672647
hill,adaptive_corridor,financial_tail_2h,right,absolute_amplitude,0.45929860432667236,577,577,0.4931659704297902,890,890,-0.03386736610311786
hill,adaptive_corridor,financial_tail_2h,right,power_range,0.49668030139924624,577,577,0.5637907555929866,890,890,-0.0671104541937404
hill,adaptive_corridor,financial_tail_2h,right,power_start,0.5241452487837955,577,577,0.5568121998801602,890,890,-0.03266695109636464
hill,adaptive_corridor,financial_tail_2h,right,upward_fraction,0.48873483535528595,577,577,0.4606741573033708,890,890,0.028060678051915144
hill,adaptive_corridor,financial_tail_2h,right,wind_prewindow_ms,9.265866466886662,577,577,10.002106127957726,890,890,-0.736239661071064
hill,adaptive_corridor,financial_tail_4h,left,duration_hours,3.0543478260869565,138,138,1.081580947555105,7894,7894,1.9727668785318515
hill,adaptive_corridor,financial_tail_4h,left,amplitude,-0.023657512652275572,138,138,-0.001801147532891686,7894,7894,-0.021856365119383887
hill,adaptive_corridor,financial_tail_4h,left,absolute_amplitude,0.39653953848654316,138,138,0.3464025869872549,7894,7894,0.05013695149928826
hill,adaptive_corridor,financial_tail_4h,left,power_range,0.4130066779315334,138,138,0.34967422266287584,7894,7894,0.06333245526865755
hill,adaptive_corridor,financial_tail_4h,left,power_start,0.5029849411824802,138,138,0.5025305502207927,7894,7894,0.0004543909616874231
hill,adaptive_corridor,financial_tail_4h,left,upward_fraction,0.5,138,138,0.4989865720800608,7894,7894,0.0010134279199391916
hill,adaptive_corridor,financial_tail_4h,left,wind_prewindow_ms,8.806295434489916,138,138,9.095707950081819,7894,7894,-0.28941251559190206
hill,adaptive_corridor,financial_tail_4h,right,duration_hours,4.496376811594203,138,138,5.641133263378804,953,953,-1.144756451784601
hill,adaptive_corridor,financial_tail_4h,right,amplitude,0.017190066514659208,138,138,-0.047870350675897455,953,953,0.06506041719055666
hill,adaptive_corridor,financial_tail_4h,right,absolute_amplitude,0.508008518724776,138,138,0.5309534865111507,953,953,-0.02294496778637467
hill,adaptive_corridor,financial_tail_4h,right,power_range,0.5582043938072407,138,138,0.6378475596060789,953,953,-0.07964316579883812
hill,adaptive_corridor,financial_tail_4h,right,power_start,0.4768198762383687,138,138,0.5546555094587898,953,953,-0.07783563322042114
hill,adaptive_corridor,financial_tail_4h,right,upward_fraction,0.5217391304347826,138,138,0.45540398740818466,953,953,0.06633514302659793
hill,adaptive_corridor,financial_tail_4h,right,wind_prewindow_ms,8.992076016422631,138,138,9.98510387096842,953,953,-0.9930278545457885
hill,adaptive_corridor,mean_shift_1h,left,duration_hours,1.3734121769601402,2283,2283,1.0130457470864498,5749,5749,0.3603664298736904
hill,adaptive_corridor,mean_shift_1h,left,amplitude,0.0007420758979070953,2283,2283,-0.003335737457920143,5749,5749,0.004077813355827238
hill,adaptive_corridor,mean_shift_1h,left,absolute_amplitude,0.4275228163809608,2283,2283,0.3153922226806053,5749,5749,0.1121305937003555
hill,adaptive_corridor,mean_shift_1h,left,power_range,0.432036981976067,2283,2283,0.3184871813191743,5749,5749,0.11354980065689269
hill,adaptive_corridor,mean_shift_1h,left,power_start,0.5091124530112872,2283,2283,0.4999277013569929,5749,5749,0.009184751654294276
hill,adaptive_corridor,mean_shift_1h,left,upward_fraction,0.5037231712658782,2283,2283,0.497129935640981,5749,5749,0.006593235624897165
hill,adaptive_corridor,mean_shift_1h,left,wind_prewindow_ms,9.094706850402423,2283,2283,9.08915839075261,5749,5749,0.005548459649812543
hill,adaptive_corridor,mean_shift_1h,right,duration_hours,1.862461673236969,2283,2283,2.003120820329915,2243,2243,-0.14065914709294614
hill,adaptive_corridor,mean_shift_1h,right,amplitude,-0.006829656248974968,2283,2283,0.009123651409597148,2243,2243,-0.015953307658572117
hill,adaptive_corridor,mean_shift_1h,right,absolute_amplitude,0.38156831617748166,2283,2283,0.3767585167642999,2243,2243,0.00480979941318177
hill,adaptive_corridor,mean_shift_1h,right,power_range,0.46345441498158174,2283,2283,0.48555505090001316,2243,2243,-0.02210063591843142
hill,adaptive_corridor,mean_shift_1h,right,power_start,0.5135681302922033,2283,2283,0.5096794838412436,2243,2243,0.003888646450959654
hill,adaptive_corridor,mean_shift_1h,right,upward_fraction,0.4989049496276829,2283,2283,0.5078020508247882,2243,2243,-0.00889710119710535
hill,adaptive_corridor,mean_shift_1h,right,wind_prewindow_ms,9.072976000788682,2283,2283,9.284458238686295,2243,2243,-0.2114822378976129
hill,adaptive_corridor,mean_shift_2h,left,duration_hours,2.9563758389261743,298,298,1.0445435738298423,7734,7734,1.911832265096332
hill,adaptive_corridor,mean_shift_2h,left,amplitude,-0.062020558509227414,298,298,0.00012918684575753382,7734,7734,-0.06214974535498495
hill,adaptive_corridor,mean_shift_2h,left,absolute_amplitude,0.42274372385907366,298,298,0.3443556824771824,7734,7734,0.07838804138189126
hill,adaptive_corridor,mean_shift_2h,left,power_range,0.4457078553071665,298,298,0.34710399461776037,7734,7734,0.09860386068940613
hill,adaptive_corridor,mean_shift_2h,left,power_start,0.5111771551858427,298,298,0.5022054943212748,7734,7734,0.00897166086456791
hill,adaptive_corridor,mean_shift_2h,left,upward_fraction,0.4429530201342282,298,298,0.5011636927851048,7734,7734,-0.05821067265087654
hill,adaptive_corridor,mean_shift_2h,left,wind_prewindow_ms,8.771191155283777,298,298,9.103047887720576,7734,7734,-0.33185673243679936
hill,adaptive_corridor,mean_shift_2h,right,duration_hours,4.434563758389261,298,298,5.023708721422524,2362,2362,-0.5891449630332621
hill,adaptive_corridor,mean_shift_2h,right,amplitude,-0.02282156359765585,298,298,-0.0052125270309831846,2362,2362,-0.01760903656667267
hill,adaptive_corridor,mean_shift_2h,right,absolute_amplitude,0.29922951511227774,298,298,0.3354422486698507,2362,2362,-0.03621273355757293
hill,adaptive_corridor,mean_shift_2h,right,power_range,0.5367449480456933,298,298,0.6226762644396748,2362,2362,-0.08593131639398155
hill,adaptive_corridor,mean_shift_2h,right,power_start,0.4745217798959998,298,298,0.5109768368538697,2362,2362,-0.036455056957869936
hill,adaptive_corridor,mean_shift_2h,right,upward_fraction,0.4899328859060403,298,298,0.5050804403048265,2362,2362,-0.015147554398786178
hill,adaptive_corridor,mean_shift_2h,right,wind_prewindow_ms,8.683180703079408,298,298,9.299336912148826,2362,2362,-0.6161562090694179
hill,adaptive_corridor,mean_shift_4h,left,duration_hours,5.892857142857143,14,14,1.1071339486156149,8018,8018,4.785723194241529
hill,adaptive_corridor,mean_shift_4h,left,amplitude,0.01029405874248368,14,14,-0.002198442528442974,8018,8018,0.012492501270926654
hill,adaptive_corridor,mean_shift_4h,left,absolute_amplitude,0.3426464103714526,14,14,0.34727206638105923,8018,8018,-0.004625656009606627
hill,adaptive_corridor,mean_shift_4h,left,power_range,0.43358199259756025,14,14,0.35061774599138534,8018,8018,0.08296424660617491
hill,adaptive_corridor,mean_shift_4h,left,power_start,0.388350987088853,14,14,0.5027377365311645,8018,8018,-0.11438674944231148
hill,adaptive_corridor,mean_shift_4h,left,upward_fraction,0.6428571428571429,14,14,0.4987528061860813,8018,8018,0.1441043366710616
hill,adaptive_corridor,mean_shift_4h,left,wind_prewindow_ms,8.52165400130408,14,14,9.091729130941289,8018,8018,-0.5700751296372086
hill,adaptive_corridor,mean_shift_4h,right,duration_hours,8.357142857142858,14,14,11.394977168949772,1314,1314,-3.0378343118069147
hill,adaptive_corridor,mean_shift_4h,right,amplitude,0.08795548423230029,14,14,0.004617996393610007,1314,1314,0.08333748783869029
hill,adaptive_corridor,mean_shift_4h,right,absolute_amplitude,0.22205114970789683,14,14,0.32398701638567756,1314,1314,-0.10193586667778073
hill,adaptive_corridor,mean_shift_4h,right,power_range,0.5503307414227637,14,14,0.7312814362282799,1314,1314,-0.18095069480551618
hill,adaptive_corridor,mean_shift_4h,right,power_start,0.3197268946866812,14,14,0.49776127922669844,1314,1314,-0.17803438454001724
hill,adaptive_corridor,mean_shift_4h,right,upward_fraction,0.5714285714285714,14,14,0.4863013698630137,1314,1314,0.0851272015655577
hill,adaptive_corridor,mean_shift_4h,right,wind_prewindow_ms,8.182076377528054,14,14,9.156740701921333,1314,1314,-0.9746643243932791
hill,adaptive_corridor,opsda_cui2015_1h_0.025,left,duration_hours,0.8212962962962963,2700,2700,1.2644411102775694,5332,5332,-0.44314481398127314
hill,adaptive_corridor,opsda_cui2015_1h_0.025,left,amplitude,0.002251401934045268,2700,2700,-0.004418938595758296,5332,5332,0.006670340529803564
hill,adaptive_corridor,opsda_cui2015_1h_0.025,left,absolute_amplitude,0.3775570282967962,2700,2700,0.33192432512887915,5332,5332,0.045632703167917066
hill,adaptive_corridor,opsda_cui2015_1h_0.025,left,power_range,0.3791920409867153,2700,2700,0.3363662274176974,5332,5332,0.04282581356901788
hill,adaptive_corridor,opsda_cui2015_1h_0.025,left,power_start,0.5137950790701665,2700,2700,0.49683821677356915,5332,5332,0.016956862296597375
hill,adaptive_corridor,opsda_cui2015_1h_0.025,left,upward_fraction,0.5051851851851852,2700,2700,0.495873968492123,5332,5332,0.009311216693062174
hill,adaptive_corridor,opsda_cui2015_1h_0.025,left,wind_prewindow_ms,9.231487983634441,2700,2700,9.019461697691767,5332,5332,0.2120262859426738
hill,adaptive_corridor,opsda_cui2015_1h_0.025,right,duration_hours,1.0,2700,2700,1.0,965,965,0.0
hill,adaptive_corridor,opsda_cui2015_1h_0.025,right,amplitude,0.0015615371456340762,2700,2700,0.007502117055996475,965,965,-0.005940579910362399
hill,adaptive_corridor,opsda_cui2015_1h_0.025,right,absolute_amplitude,0.3552882876060115,2700,2700,0.2803869179439449,965,965,0.07490136966206662
hill,adaptive_corridor,opsda_cui2015_1h_0.025,right,power_range,0.37915388634954805,2700,2700,0.2970586705210085,965,965,0.08209521582853957
hill,adaptive_corridor,opsda_cui2015_1h_0.025,right,power_start,0.5125631449295383,2700,2700,0.5190374991434369,965,965,-0.0064743542138986365
hill,adaptive_corridor,opsda_cui2015_1h_0.025,right,upward_fraction,0.5066666666666667,2700,2700,0.5150259067357513,965,965,-0.008359240069084617
hill,adaptive_corridor,opsda_cui2015_1h_0.025,right,wind_prewindow_ms,9.237166651663957,2700,2700,9.181497298003478,965,965,0.05566935366047865
hill,adaptive_corridor,opsda_cui2015_2h_0.025,left,duration_hours,1.1002891692954784,3804,3804,1.1291390728476822,4228,4228,-0.02884990355220385
hill,adaptive_corridor,opsda_cui2015_2h_0.025,left,amplitude,6.272373845759109e-05,3804,3804,-0.004191484501360849,4228,4228,0.00425420823981844
hill,adaptive_corridor,opsda_cui2015_2h_0.025,left,absolute_amplitude,0.3904198824816859,3804,3804,0.3084359614541628,4228,4228,0.08198392102752311
hill,adaptive_corridor,opsda_cui2015_2h_0.025,left,power_range,0.39357200159157435,3804,3804,0.31224582336824624,4228,4228,0.0813261782233281
hill,adaptive_corridor,opsda_cui2015_2h_0.025,left,power_start,0.5111738745192035,3804,3804,0.49476884263364956,4228,4228,0.016405031885553922
hill,adaptive_corridor,opsda_cui2015_2h_0.025,left,upward_fraction,0.5023659305993691,3804,3804,0.4959791863765374,4228,4228,0.006386744222831697
hill,adaptive_corridor,opsda_cui2015_2h_0.025,left,wind_prewindow_ms,9.151342951286228,3804,3804,9.036205946360615,4228,4228,0.11513700492561263
hill,adaptive_corridor,opsda_cui2015_2h_0.025,right,duration_hours,1.3221608832807572,3804,3804,1.6045454545454545,2970,2970,-0.2823845712646973
hill,adaptive_corridor,opsda_cui2015_2h_0.025,right,amplitude,0.00043097301550976586,3804,3804,0.006734105631548402,2970,2970,-0.006303132616038636
hill,adaptive_corridor,opsda_cui2015_2h_0.025,right,absolute_amplitude,0.36915386763382385,3804,3804,0.33470236661644254,2970,2970,0.034451501017381314
hill,adaptive_corridor,opsda_cui2015_2h_0.025,right,power_range,0.403037938763613,3804,3804,0.3608014647435017,2970,2970,0.04223647402011127
hill,adaptive_corridor,opsda_cui2015_2h_0.025,right,power_start,0.5090781668356988,3804,3804,0.4977540718807964,2970,2970,0.011324094954902442
hill,adaptive_corridor,opsda_cui2015_2h_0.025,right,upward_fraction,0.5026288117770767,3804,3804,0.5111111111111111,2970,2970,-0.008482299334034327
hill,adaptive_corridor,opsda_cui2015_2h_0.025,right,wind_prewindow_ms,9.157725659835936,3804,3804,9.10075386359903,2970,2970,0.05697179623690651
hill,adaptive_corridor,opsda_cui2015_4h_0.025,left,duration_hours,1.2617558779389695,3998,3998,0.9705007436787307,4034,4034,0.29125513426023875
hill,adaptive_corridor,opsda_cui2015_4h_0.025,left,amplitude,0.0018900528375954894,3998,3998,-0.006207096334994487,4034,4034,0.008097149172589977
hill,adaptive_corridor,opsda_cui2015_4h_0.025,left,absolute_amplitude,0.3856200209171529,3998,3998,0.30925028120023695,4034,4034,0.07636973971691596
hill,adaptive_corridor,opsda_cui2015_4h_0.025,left,power_range,0.3901979587852441,3998,3998,0.3116786802260505,4034,4034,0.0785192785591936
hill,adaptive_corridor,opsda_cui2015_4h_0.025,left,power_start,0.5049281064763301,3998,3998,0.5001699344654815,4034,4034,0.004758172010848605
hill,adaptive_corridor,opsda_cui2015_4h_0.025,left,upward_fraction,0.5047523761880941,3998,3998,0.4933068914229053,4034,4034,0.011445484765188807
hill,adaptive_corridor,opsda_cui2015_4h_0.025,left,wind_prewindow_ms,9.097294848755796,3998,3998,9.084234636236943,4034,4034,0.013060212518853476
hill,adaptive_corridor,opsda_cui2015_4h_0.025,right,duration_hours,1.5392696348174086,3998,3998,2.443324937027708,5955,5955,-0.9040553022102993
hill,adaptive_corridor,opsda_cui2015_4h_0.025,right,amplitude,-0.001632696501858561,3998,3998,-0.0010332691961260642,5955,5955,-0.0005994273057324969
hill,adaptive_corridor,opsda_cui2015_4h_0.025,right,absolute_amplitude,0.3741676457775659,3998,3998,0.38235137383470286,5955,5955,-0.008183728057136963
hill,adaptive_corridor,opsda_cui2015_4h_0.025,right,power_range,0.41124170145751154,3998,3998,0.4204353103089083,5955,5955,-0.00919360885139675
hill,adaptive_corridor,opsda_cui2015_4h_0.025,right,power_start,0.505508253584494,3998,3998,0.4941686005970359,5955,5955,0.011339652987458149
hill,adaptive_corridor,opsda_cui2015_4h_0.025,right,upward_fraction,0.5015007503751876,3998,3998,0.5059613769941226,5955,5955,-0.004460626618934982
hill,adaptive_corridor,opsda_cui2015_4h_0.025,right,wind_prewindow_ms,9.103132615233335,3998,3998,9.03944890176486,5955,5955,0.06368371346847468
hill,adaptive_corridor,sda_florita2013_0.025,left,duration_hours,1.018487157775896,3543,3543,1.1920249498774782,4489,4489,-0.17353779210158216
hill,adaptive_corridor,sda_florita2013_0.025,left,amplitude,-0.0018842478500979787,3543,3543,-0.002407463853366865,4489,4489,0.0005232160032688862
hill,adaptive_corridor,sda_florita2013_0.025,left,absolute_amplitude,0.38291599626833556,3543,3543,0.3191252179126354,4489,4489,0.06379077835570018
