site,model,training,seed,price_case,shortfall_price,surplus_price,tail_premium,storage_fraction,duration_h,reserve,nameplate_mw,power_mw,energy_mwh,calendar_h,observed_h,operating_cny_per_installed_mw,capital_cny_per_installed_mw,total_cny_per_installed_mw,shortfall_mwh,surplus_mwh,throughput_mwh,tail_mwh,inventory_draw_mwh,initial_soc_mwh,terminal_soc_mwh
pizhou,tcn,mse,41,low,150.0,40.0,0.0,0.0,0.0,0.0,87.45,0.0,0.0,2496.0,1774.5,12364.804803542496,0.0,12364.804803542496,62.63846435014231,74.22587877552877,0.0,16.46534907357098,0.0,0.0,0.0
pizhou,tcn,mse,41,low,150.0,40.0,0.0,0.05,1.0,0.0,87.45,4.3725000000000005,4.3725000000000005,2496.0,1774.5,10913.396265517105,3491.7324514409534,14405.12871695806,52.32228277418265,63.033489373500025,21.508570977988285,14.498249976860773,0.02,0.025,0.005000000000000001
pizhou,tcn,mse,41,low,150.0,40.0,0.0,0.05,2.0,0.0,87.45,4.3725000000000005,8.745000000000001,2496.0,1774.5,10182.38266563626,6140.632931844435,16323.015597480695,47.172913499854154,57.42516691219298,32.26626271362427,12.577342085654294,0.009274654432708114,0.05,0.04072534556729189
pizhou,tcn,mse,41,low,150.0,40.0,0.0,0.05,4.0,0.0,87.45,4.3725000000000005,17.490000000000002,2496.0,1774.5,9482.885667550876,11438.433892651401,20921.319560202275,42.311977050194336,52.0998374536644,42.452528621813414,11.33704795099551,-0.03072534556729189,0.1,0.1307253455672919
pizhou,tcn,mse,41,low,150.0,40.0,0.0,0.1,1.0,0.0,87.45,8.745000000000001,8.745000000000001,2496.0,1774.5,9880.957642052897,6983.464902881907,16864.422544934805,45.038487632030424,55.10572882543652,36.72012666820403,12.76040020969969,0.009840591752567383,0.05,0.040159408247432624
pizhou,tcn,mse,41,low,150.0,40.0,0.0,0.1,2.0,0.0,87.45,8.745000000000001,17.490000000000002,2496.0,1774.5,8711.1976221068,12281.26586368887,20992.46348579567,36.84953595074109,46.1629915064411,53.85181566848891,9.559616803350314,-0.030159408247432625,0.1,0.13015940824743263
pizhou,tcn,mse,41,low,150.0,40.0,0.0,0.1,4.0,0.0,87.45,8.745000000000001,34.980000000000004,2496.0,1774.5,7648.817225568886,22876.867785302802,30525.685010871686,29.50985160266955,38.10166797117528,69.25282355182688,7.828704788304693,-0.1101594082474326,0.2,0.3101594082474326
pizhou,tcn,mse,41,low,150.0,40.0,0.0,0.2,1.0,0.0,87.45,17.490000000000002,17.490000000000002,2496.0,1774.5,8441.817646185153,13966.929805763813,22408.747451948966,34.94315458268023,44.09083784550548,57.830350697485194,10.025015169433189,-0.030159408247432625,0.1,0.13015940824743263
pizhou,tcn,mse,41,low,150.0,40.0,0.0,0.2,2.0,0.0,87.45,17.490000000000002,34.980000000000004,2496.0,1774.5,6860.694400545464,24562.53172737774,31423.226127923204,23.93236699481164,32.03918470176448,80.8927914290947,5.548778102459957,-0.1101594082474326,0.2,0.3101594082474326
pizhou,tcn,mse,41,low,150.0,40.0,0.0,0.2,4.0,0.0,87.45,17.490000000000002,69.96000000000001,2496.0,1774.5,5653.076414432775,45753.735570605604,51406.81198503838,15.392563859857786,22.753795195836297,98.7179840699768,3.940002222718351,-0.11303191376255141,0.4,0.5130319137625514
pizhou,tcn,mse,41,low,150.0,40.0,1000.0,0.0,0.0,0.0,87.45,0.0,0.0,2496.0,1774.5,28830.153877113476,0.0,28830.153877113476,62.63846435014231,74.22587877552877,0.0,16.46534907357098,0.0,0.0,0.0
pizhou,tcn,mse,41,low,150.0,40.0,1000.0,0.05,1.0,0.0,87.45,4.3725000000000005,4.3725000000000005,2496.0,1774.5,25411.646242377883,3491.7324514409534,28903.378693818835,52.32228277418265,63.033489373500025,21.508570977988285,14.498249976860773,0.02,0.025,0.005000000000000001
pizhou,tcn,mse,41,low,150.0,40.0,1000.0,0.05,2.0,0.0,87.45,4.3725000000000005,8.745000000000001,2496.0,1774.5,22759.724751290556,6140.632931844435,28900.35768313499,47.172913499854154,57.42516691219298,32.26626271362427,12.577342085654294,0.009274654432708114,0.05,0.04072534556729189
