mode,seed,adapt_epochs,event_pairs,configuration_pairs,pooled_nmi,pooled_ari,equal_pair_nmi,equal_pair_ari,weighted_nmi,weighted_ari
frozen,41,0,17357,62,0.546650293227172,0.5955527707062773,0.6246732634814919,0.6142339212683148,0.6073033732591591,0.6282797585856652
target_finetuned,41,5,17357,62,0.5520786712191806,0.6086886428174175,0.629056330238422,0.6238626568453467,0.6107271640685923,0.6390526999734047
