mode,config_a,config_b,pairs,nmi,ari
target_finetuned,endpoint_corridor_0.025,financial_tail_1h,237,0.742667658792394,0.8308562107928761
target_finetuned,endpoint_corridor_0.025,financial_tail_2h,99,0.6651913237281862,0.6961455316336345
target_finetuned,endpoint_corridor_0.025,financial_tail_4h,11,0.8183333793438862,0.7755102040816326
target_finetuned,endpoint_corridor_0.025,mean_shift_1h,94,0.6227275655122324,0.6769006221280839
target_finetuned,endpoint_corridor_0.025,mean_shift_2h,5,1.0,1.0
target_finetuned,endpoint_corridor_0.025,threshold_1h,203,0.8347287243325423,0.9055836173359476
target_finetuned,endpoint_corridor_0.025,threshold_2h,120,0.7236768703771532,0.8145286238096098
target_finetuned,endpoint_corridor_0.025,threshold_4h,11,1.0,1.0
target_finetuned,endpoint_corridor_0.050,endpoint_corridor_0.100,411,0.7565648884652985,0.826021332526097
target_finetuned,endpoint_corridor_0.050,financial_tail_1h,451,0.7335835915091201,0.822951844485318
target_finetuned,endpoint_corridor_0.050,financial_tail_2h,286,0.654705804990031,0.7243814372165853
target_finetuned,endpoint_corridor_0.050,financial_tail_4h,75,0.6682814647099743,0.6027356156783933
target_finetuned,endpoint_corridor_0.050,mean_shift_1h,169,0.6632611806042886,0.6878072093341235
target_finetuned,endpoint_corridor_0.050,mean_shift_2h,30,0.609360892174756,0.5394166907305804
target_finetuned,endpoint_corridor_0.050,mean_shift_4h,5,0.6434709124204981,0.2857142857142857
target_finetuned,endpoint_corridor_0.050,threshold_1h,358,0.7711434351484356,0.8408304066826946
target_finetuned,endpoint_corridor_0.050,threshold_2h,300,0.6762548521443913,0.7778679441447958
target_finetuned,endpoint_corridor_0.050,threshold_4h,75,0.6769066517521889,0.7095662228749376
target_finetuned,endpoint_corridor_0.100,financial_tail_1h,527,0.7162726077803598,0.7586874753697512
target_finetuned,endpoint_corridor_0.100,financial_tail_2h,453,0.6598979666810041,0.7232108468227346
target_finetuned,endpoint_corridor_0.100,financial_tail_4h,197,0.674472215173788,0.7247193312254605
target_finetuned,endpoint_corridor_0.100,mean_shift_1h,272,0.5909326660788957,0.6095550398237913
target_finetuned,endpoint_corridor_0.100,mean_shift_2h,135,0.5796554524722299,0.5541450584747878
target_finetuned,endpoint_corridor_0.100,mean_shift_4h,51,0.47390929562001577,0.37605041189922345
target_finetuned,endpoint_corridor_0.100,threshold_1h,475,0.7172354343460366,0.7861721725089034
target_finetuned,endpoint_corridor_0.100,threshold_2h,481,0.6676991046540635,0.7571775096445883
target_finetuned,endpoint_corridor_0.100,threshold_4h,252,0.6175539828905705,0.7619679865705342
target_finetuned,financial_tail_1h,financial_tail_2h,868,0.5650338311560594,0.5943298901317464
target_finetuned,financial_tail_1h,financial_tail_4h,15,0.6740936813313462,0.460352422907489
target_finetuned,financial_tail_1h,mean_shift_1h,407,0.5860377817310697,0.6343737134710907
target_finetuned,financial_tail_1h,mean_shift_2h,71,0.6045732491420269,0.5148379539242484
target_finetuned,financial_tail_1h,threshold_1h,680,0.7543034354745788,0.8197518671715683
target_finetuned,financial_tail_1h,threshold_2h,654,0.5689501498708365,0.6257413823312853
target_finetuned,financial_tail_1h,threshold_4h,17,0.7894414419771505,0.7496318114874816
target_finetuned,financial_tail_2h,financial_tail_4h,704,0.5345977179400652,0.5385132223113156
target_finetuned,financial_tail_2h,mean_shift_1h,299,0.5508586936738695,0.49402431120421236
target_finetuned,financial_tail_2h,mean_shift_2h,408,0.5136969784377595,0.5156763841543532
target_finetuned,financial_tail_2h,mean_shift_4h,51,0.6482948365097387,0.5007600170243813
target_finetuned,financial_tail_2h,threshold_1h,259,0.5143449658652046,0.4959711102717801
target_finetuned,financial_tail_2h,threshold_2h,877,0.7047409326285561,0.7394629542799348
target_finetuned,financial_tail_2h,threshold_4h,514,0.5167394718545971,0.5650128065080199
target_finetuned,financial_tail_4h,mean_shift_1h,44,0.5032853211513734,0.4834364761558063
target_finetuned,financial_tail_4h,mean_shift_2h,369,0.5045997303539255,0.4846612622893066
target_finetuned,financial_tail_4h,mean_shift_4h,386,0.5139751629773156,0.4825022681612699
target_finetuned,financial_tail_4h,threshold_1h,7,0.8579917415317729,0.9049773755656109
target_finetuned,financial_tail_4h,threshold_2h,341,0.5066544148487705,0.46952328108401636
target_finetuned,financial_tail_4h,threshold_4h,867,0.6325850438399999,0.6580432483248638
target_finetuned,mean_shift_1h,mean_shift_2h,107,0.4051431102138084,0.3141250976494076
target_finetuned,mean_shift_1h,threshold_1h,494,0.5721285422594944,0.613466023791675
target_finetuned,mean_shift_1h,threshold_2h,382,0.549730972260489,0.5297113819114743
target_finetuned,mean_shift_1h,threshold_4h,28,0.3788991731534474,0.2003102852508727
target_finetuned,mean_shift_2h,mean_shift_4h,138,0.42370859348787937,0.30762225210686894
target_finetuned,mean_shift_2h,threshold_1h,11,0.5934347792419247,0.33962264150943394
target_finetuned,mean_shift_2h,threshold_2h,502,0.5021332833629156,0.48865874905065226
target_finetuned,mean_shift_2h,threshold_4h,403,0.44779374766637053,0.44731232970662804
target_finetuned,mean_shift_4h,threshold_2h,20,0.14687883893955977,0.025987209420363415
target_finetuned,mean_shift_4h,threshold_4h,474,0.46659437548757665,0.40164528053827997
target_finetuned,threshold_1h,threshold_2h,334,0.48449962746241926,0.5102004424180343
target_finetuned,threshold_1h,threshold_4h,2,1.0,1.0
target_finetuned,threshold_2h,threshold_4h,371,0.3922621270375615,0.42446969206463825
