site,cutoff,method,config_a,config_b,pairs,nmi,ari,mean_iou,left_n,right_n,left_coverage,right_coverage
hill,0.3,greedy,adaptive_corridor,endpoint_corridor_0.025,6367,0.8302039739740602,0.8989756505480941,0.819348463431234,8032,7740,0.7927041832669323,0.822609819121447
hill,0.3,maximum_iou,adaptive_corridor,endpoint_corridor_0.025,6367,0.8280324682320512,0.9018472209834077,0.819348463431234,8032,7740,0.7927041832669323,0.822609819121447
hill,0.5,greedy,adaptive_corridor,endpoint_corridor_0.025,5849,0.847953438424032,0.9125349387993585,0.8615559029219484,8032,7740,0.7282121513944223,0.7556847545219638
hill,0.5,maximum_iou,adaptive_corridor,endpoint_corridor_0.025,5849,0.848281045330583,0.9167782535618255,0.8615559029219484,8032,7740,0.7282121513944223,0.7556847545219638
hill,0.7,greedy,adaptive_corridor,endpoint_corridor_0.025,4155,0.9964507864941146,0.9989672098649275,0.9973921265257004,8032,7740,0.5173057768924303,0.5368217054263565
hill,0.7,maximum_iou,adaptive_corridor,endpoint_corridor_0.025,4155,0.9964507864941146,0.9989672098649275,0.9973921265257004,8032,7740,0.5173057768924303,0.5368217054263565
hill,0.3,greedy,adaptive_corridor,endpoint_corridor_0.050,7020,0.843792012523361,0.9127276969152359,0.8435468029912475,8032,8585,0.874003984063745,0.8177052999417589
hill,0.3,maximum_iou,adaptive_corridor,endpoint_corridor_0.050,7020,0.8433552234730317,0.9148107682334086,0.8435468029912475,8032,8585,0.874003984063745,0.8177052999417589
hill,0.5,greedy,adaptive_corridor,endpoint_corridor_0.050,6563,0.8611408211780175,0.9255429839417092,0.8779286959844633,8032,8585,0.8171065737051793,0.7644729178800233
hill,0.5,maximum_iou,adaptive_corridor,endpoint_corridor_0.050,6563,0.8609533662115548,0.9275398375948618,0.8779286959844633,8032,8585,0.8171065737051793,0.7644729178800233
hill,0.7,greedy,adaptive_corridor,endpoint_corridor_0.050,4883,0.9928784613155535,0.9978665900429186,0.9932672147294306,8032,8585,0.6079432270916335,0.5687827606290041
hill,0.7,maximum_iou,adaptive_corridor,endpoint_corridor_0.050,4883,0.9928784613155535,0.9978665900429186,0.9932672147294306,8032,8585,0.6079432270916335,0.5687827606290041
hill,0.3,greedy,adaptive_corridor,endpoint_corridor_0.100,7468,0.8719995635624975,0.9354246942790826,0.8803539012306068,8032,8952,0.9297808764940239,0.8342269883824843
hill,0.3,maximum_iou,adaptive_corridor,endpoint_corridor_0.100,7468,0.8695199792804137,0.9350236105387864,0.8803539012306068,8032,8952,0.9297808764940239,0.8342269883824843
hill,0.5,greedy,adaptive_corridor,endpoint_corridor_0.100,7174,0.8835788268643474,0.9431142822337748,0.9019552583822498,8032,8952,0.8931772908366534,0.8013851653261841
hill,0.5,maximum_iou,adaptive_corridor,endpoint_corridor_0.100,7174,0.8819114768481249,0.9430627331408606,0.9019552583822498,8032,8952,0.8931772908366534,0.8013851653261841
hill,0.7,greedy,adaptive_corridor,endpoint_corridor_0.100,5734,0.9738828481863244,0.9908717168210328,0.9883422274915536,8032,8952,0.713894422310757,0.6405272564789991
hill,0.7,maximum_iou,adaptive_corridor,endpoint_corridor_0.100,5734,0.9738828481863244,0.9908717168210328,0.9883422274915536,8032,8952,0.713894422310757,0.6405272564789991
hill,0.3,greedy,adaptive_corridor,financial_tail_1h,1945,0.7288877500849484,0.8105072727505481,0.6720130982984454,8032,2177,0.24215637450199204,0.8934313275149288
hill,0.3,maximum_iou,adaptive_corridor,financial_tail_1h,1945,0.724622693605109,0.8048461774548831,0.6720130982984454,8032,2177,0.24215637450199204,0.8934313275149288
hill,0.5,greedy,adaptive_corridor,financial_tail_1h,1598,0.7467945586196562,0.8306329732481811,0.7441176470588234,8032,2177,0.19895418326693226,0.7340376665135507
hill,0.5,maximum_iou,adaptive_corridor,financial_tail_1h,1598,0.7463625626481682,0.8299859785031344,0.7441176470588234,8032,2177,0.19895418326693226,0.7340376665135507
hill,0.7,greedy,adaptive_corridor,financial_tail_1h,684,0.9907388187877633,0.9971347532013629,0.9871345029239765,8032,2177,0.08515936254980079,0.3141938447404685
hill,0.7,maximum_iou,adaptive_corridor,financial_tail_1h,684,0.9907388187877633,0.9971347532013629,0.9871345029239765,8032,2177,0.08515936254980079,0.3141938447404685
hill,0.3,greedy,adaptive_corridor,financial_tail_2h,864,0.6103481841644972,0.669433400903742,0.5613804212762546,8032,1467,0.10756972111553785,0.588957055214724
hill,0.3,maximum_iou,adaptive_corridor,financial_tail_2h,864,0.6051402942756443,0.6618009859007182,0.5613804212762546,8032,1467,0.10756972111553785,0.588957055214724
hill,0.5,greedy,adaptive_corridor,financial_tail_2h,577,0.6645759143724511,0.713958412865549,0.6534056834750077,8032,1467,0.07183764940239044,0.3933197000681663
hill,0.5,maximum_iou,adaptive_corridor,financial_tail_2h,577,0.6543092794046389,0.7060123843382946,0.6534056834750077,8032,1467,0.07183764940239044,0.3933197000681663
hill,0.7,greedy,adaptive_corridor,financial_tail_2h,221,0.709087063256234,0.7600222347782126,0.8407670760611936,8032,1467,0.027514940239043825,0.15064758009543286
hill,0.7,maximum_iou,adaptive_corridor,financial_tail_2h,221,0.709087063256234,0.7600222347782126,0.8407670760611936,8032,1467,0.027514940239043825,0.15064758009543286
hill,0.3,greedy,adaptive_corridor,financial_tail_4h,388,0.35342829285958755,0.4647906059952798,0.45680173044305206,8032,1091,0.04830677290836653,0.3556370302474794
hill,0.3,maximum_iou,adaptive_corridor,financial_tail_4h,391,0.3697661365368622,0.47630896798733957,0.4557177816073795,8032,1091,0.04868027888446215,0.35838680109990834
hill,0.5,greedy,adaptive_corridor,financial_tail_4h,138,0.48051199459222066,0.5888776197491282,0.6161505528193508,8032,1091,0.017181274900398405,0.12648945921173235
hill,0.5,maximum_iou,adaptive_corridor,financial_tail_4h,138,0.4972677721807559,0.5853110477518683,0.6161505528193508,8032,1091,0.017181274900398405,0.12648945921173235
hill,0.7,greedy,adaptive_corridor,financial_tail_4h,37,0.818704794422885,0.856044958931745,0.8092258342258344,8032,1091,0.004606573705179283,0.03391384051329056
hill,0.7,maximum_iou,adaptive_corridor,financial_tail_4h,37,0.818704794422885,0.856044958931745,0.8092258342258344,8032,1091,0.004606573705179283,0.03391384051329056
hill,0.3,greedy,adaptive_corridor,mean_shift_1h,3401,0.560248276974738,0.5650201512206919,0.5686720928782089,8032,4526,0.4234312749003984,0.7514361467079098
hill,0.3,maximum_iou,adaptive_corridor,mean_shift_1h,3407,0.5465513032966304,0.5517190098546179,0.5683065613576328,8032,4526,0.4241782868525896,0.7527618205921344
hill,0.5,greedy,adaptive_corridor,mean_shift_1h,2283,0.5888175923449588,0.5774065802495374,0.6764153170526364,8032,4526,0.28423804780876494,0.5044189129474149
hill,0.5,maximum_iou,adaptive_corridor,mean_shift_1h,2284,0.5889896212567219,0.5768899062372678,0.6763380774217026,8032,4526,0.28436254980079684,0.5046398585947857
hill,0.7,greedy,adaptive_corridor,mean_shift_1h,749,0.7158900584040707,0.7505164774342177,0.8733358764066373,8032,4526,0.09325199203187251,0.16548828988068934
hill,0.7,maximum_iou,adaptive_corridor,mean_shift_1h,749,0.7158900584040707,0.7505164774342177,0.8733358764066373,8032,4526,0.09325199203187251,0.16548828988068934
hill,0.3,greedy,adaptive_corridor,mean_shift_2h,966,0.27120727307747255,0.2758861149909965,0.45006697287189673,8032,2660,0.12026892430278885,0.3631578947368421
hill,0.3,maximum_iou,adaptive_corridor,mean_shift_2h,972,0.261600683321825,0.2671795385133315,0.4486522801513095,8032,2660,0.12101593625498008,0.36541353383458647
hill,0.5,greedy,adaptive_corridor,mean_shift_2h,298,0.4686603899704107,0.39050251446190887,0.6260686005387525,8032,2660,0.03710159362549801,0.11203007518796992
hill,0.5,maximum_iou,adaptive_corridor,mean_shift_2h,298,0.4686603899704107,0.39050251446190887,0.6260686005387525,8032,2660,0.03710159362549801,0.11203007518796992
hill,0.7,greedy,adaptive_corridor,mean_shift_2h,87,0.5205926338584461,0.4680847819115177,0.7976132743374122,8032,2660,0.01083167330677291,0.03270676691729323
hill,0.7,maximum_iou,adaptive_corridor,mean_shift_2h,87,0.5205926338584461,0.4680847819115177,0.7976132743374122,8032,2660,0.01083167330677291,0.03270676691729323
hill,0.3,greedy,adaptive_corridor,mean_shift_4h,117,0.16427249298485644,0.13134781237126184,0.40063790054346093,8032,1328,0.014566733067729083,0.08810240963855422
hill,0.3,maximum_iou,adaptive_corridor,mean_shift_4h,117,0.16427249298485644,0.13134781237126184,0.40063790054346093,8032,1328,0.014566733067729083,0.08810240963855422
hill,0.5,greedy,adaptive_corridor,mean_shift_4h,14,0.6229083742741091,0.4396551724137931,0.6641208836006491,8032,1328,0.0017430278884462151,0.010542168674698794
hill,0.5,maximum_iou,adaptive_corridor,mean_shift_4h,14,0.6229083742741091,0.4396551724137931,0.6641208836006491,8032,1328,0.0017430278884462151,0.010542168674698794
hill,0.7,greedy,adaptive_corridor,mean_shift_4h,5,0.8326760405064336,0.4117647058823529,0.8420098039215688,8032,1328,0.0006225099601593625,0.0037650602409638554
hill,0.7,maximum_iou,adaptive_corridor,mean_shift_4h,5,0.8326760405064336,0.4117647058823529,0.8420098039215688,8032,1328,0.0006225099601593625,0.0037650602409638554
hill,0.3,greedy,adaptive_corridor,opsda_cui2015_1h_0.025,3169,0.6040926267216343,0.6897555473010973,0.5908909224781739,8032,3665,0.394546812749004,0.8646657571623465
hill,0.3,maximum_iou,adaptive_corridor,opsda_cui2015_1h_0.025,3170,0.5942165939110929,0.6825038287669859,0.5908096740273395,8032,3665,0.39467131474103584,0.8649386084583902
hill,0.5,greedy,adaptive_corridor,opsda_cui2015_1h_0.025,2700,0.6411897567475471,0.7186371076657242,0.6341975308641976,8032,3665,0.33615537848605576,0.7366984993178718
hill,0.5,maximum_iou,adaptive_corridor,opsda_cui2015_1h_0.025,2700,0.6288478712235994,0.7109359926077093,0.6341975308641976,8032,3665,0.33615537848605576,0.7366984993178718
hill,0.7,greedy,adaptive_corridor,opsda_cui2015_1h_0.025,603,1.0,1.0,1.0,8032,3665,0.07507470119521913,0.1645293315143247
hill,0.7,maximum_iou,adaptive_corridor,opsda_cui2015_1h_0.025,603,1.0,1.0,1.0,8032,3665,0.07507470119521913,0.1645293315143247
hill,0.3,greedy,adaptive_corridor,opsda_cui2015_2h_0.025,4344,0.5604958371412777,0.6532889558089625,0.618517434453208,8032,6774,0.5408366533864541,0.6412754650132861
