epoch,optimizer_steps,train_mse,validation_normal_mse
1,25,0.6800134158134461,0.47025126218795776
2,50,0.4075730359554291,0.4132002294063568
3,75,0.357592396736145,0.3056606650352478
4,100,0.2940599203109741,0.32829830050468445
5,125,0.25670281767845154,0.1989593356847763
6,150,0.213987078666687,0.2040555477142334
7,175,0.18248588144779204,0.15976649522781372
8,200,0.15527552247047424,0.15274567902088165
9,225,0.15632930040359497,0.19084769487380981
10,250,0.13045443296432496,0.10433045029640198
11,275,0.12198934406042099,0.0975874736905098
12,300,0.12167219489812851,0.09942299872636795
13,325,0.10912027984857559,0.08625979721546173
14,350,0.10187085717916489,0.08865303546190262
15,375,0.09141625165939331,0.07764913141727448
16,400,0.09160661712288856,0.08401691913604736
17,425,0.09155945092439652,0.07043590396642685
18,450,0.07840831905603408,0.0687403455376625
19,475,0.08375198364257813,0.06673528254032135
20,500,0.07218846991658211,0.06024860963225365
21,525,0.07231095731258393,0.05688615143299103
22,550,0.06901583433151245,0.05719335377216339
23,575,0.07055759683251381,0.05317544937133789
24,600,0.07126404225826263,0.05349118635058403
25,625,0.06418369650840759,0.04878627881407738
26,650,0.058370544016361235,0.04724114015698433
27,675,0.05939373806118965,0.04828881472349167
28,700,0.05989189937710762,0.051375340670347214
29,725,0.056185723096132276,0.0438537672162056
30,750,0.051091912984848026,0.04156903177499771
