epoch,optimizer_steps,train_mse,validation_normal_mse
1,25,0.6417170417308807,0.40062758326530457
2,50,0.4059711390733719,0.33889222145080566
3,75,0.35968941807746885,0.3144291341304779
4,100,0.32252385079860685,0.2645363211631775
5,125,0.28204031407833097,0.22811706364154816
6,150,0.25308634400367735,0.1998865008354187
7,175,0.22324444651603698,0.18751013278961182
8,200,0.21393056571483612,0.15394258499145508
9,225,0.18009464621543883,0.15725696086883545
10,250,0.17350897580385208,0.1258322149515152
11,275,0.1486654219031334,0.12286463379859924
12,300,0.13560937583446503,0.1039072647690773
13,325,0.12109077632427216,0.08990791440010071
14,350,0.11380578547716141,0.09589627385139465
15,375,0.09769411593675613,0.07814572751522064
16,400,0.10319553583860397,0.0732552707195282
17,425,0.08983789160847663,0.07831224054098129
18,450,0.095526073127985,0.06833295524120331
19,475,0.09082812353968621,0.06454349309206009
20,500,0.07762206181883811,0.058301810175180435
21,525,0.08095068648457528,0.06619055569171906
22,550,0.07160420551896095,0.0633513480424881
23,575,0.06993080034852028,0.05354331433773041
24,600,0.067311921864748,0.05217884108424187
25,625,0.07227380618453026,0.05012606456875801
26,650,0.06358381778001786,0.049552857875823975
27,675,0.0622901725769043,0.04883895814418793
28,700,0.06468994528055191,0.053555507212877274
29,725,0.06199462488293648,0.05163334682583809
30,750,0.0580867512524128,0.04670831188559532
