epoch,optimizer_steps,train_mse,validation_normal_mse
1,25,0.6147870695590973,0.3966093063354492
2,50,0.40563507080078126,0.33724966645240784
3,75,0.3641869044303894,0.31374451518058777
4,100,0.33044473528862,0.2665742337703705
5,125,0.27720721185207364,0.21982233226299286
6,150,0.24466905653476714,0.1974528431892395
7,175,0.23097718119621277,0.17680086195468903
8,200,0.19772109150886535,0.1845511943101883
9,225,0.1782367405295372,0.13139225542545319
10,250,0.16238621801137923,0.142272487282753
11,275,0.14126992344856262,0.1097925677895546
12,300,0.1270304414629936,0.137131467461586
13,325,0.11873739391565323,0.09267856925725937
14,350,0.11373094081878662,0.11181976646184921
15,375,0.09683412820100784,0.1027512326836586
16,400,0.09805504575371743,0.112928606569767
17,425,0.08324972346425057,0.07177656143903732
18,450,0.08248861253261566,0.06752382963895798
19,475,0.06696378096938133,0.05316167697310448
20,500,0.0664624598622322,0.05223698168992996
21,525,0.057516026347875594,0.04690733551979065
22,550,0.055289003849029544,0.04615817964076996
23,575,0.06036673575639725,0.05947989225387573
24,600,0.05461310267448425,0.057024408131837845
25,625,0.05294969037175178,0.04242371395230293
26,650,0.05824525386095047,0.04552454873919487
27,675,0.051586067229509355,0.04597598314285278
28,700,0.04978784993290901,0.04346652328968048
29,725,0.052356903702020646,0.043458640575408936
30,750,0.051381059885025025,0.04168283939361572
