model,policy,f1_gain_vs_mean_rule,ci95_low,ci95_high
timesnet,source_frozen,0.1559491700661217,0.12679627299989002,0.1850583517936178
timesnet,target_validation,-0.055946957378387396,-0.08257581351118566,-0.02980346696707891
kanad,source_frozen,0.26056906302168575,0.2407970768577306,0.28099340219410146
kanad,target_validation,0.09764203720093279,0.07372263243680861,0.12067849451925611
tcn_ae,source_frozen,0.19940513188278625,0.17822535915892126,0.222889714166384
tcn_ae,target_validation,0.02700671045793146,0.005372658463691346,0.0492221290266404
transformer_ae,source_frozen,0.10842629565691109,0.09018648275967643,0.12738668752496793
transformer_ae,target_validation,-0.002546215893930781,-0.025826841936192887,0.020910863711309284
