step,residual_input_mw,residual_lp_mw,online_charge_mw,online_discharge_mw,online_soc_mwh,online_net_residual_mw,online_severe,lp_charge_mw,lp_discharge_mw,lp_soc_mwh,lp_net_residual_mw,lp_severe
0,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
1,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
2,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
3,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
4,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
5,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
6,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
7,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
8,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
9,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
10,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
11,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
12,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
13,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
14,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
15,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
16,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
17,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
18,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
19,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
20,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
21,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
22,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
23,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
24,,0.0,0.0,0.0,8.745000000000001,,False,0.0,0.0,8.745000000000001,0.0,False
25,-1.7310299475552091,-1.7310299475552091,0.0,1.7310299475552091,8.745000000000001,0.0,False,0.0,0.0,8.745000000000001,-1.7310299475552091,False
26,-2.440280794587268,-2.440280794587268,0.0,2.440280794587268,7.842638261925693,0.0,False,0.0,0.0,8.745000000000001,-2.440280794587268,False
27,-2.703957242499131,-2.703957242499131,0.0,2.703957242499131,6.57055396188045,0.0,False,0.0,0.0,8.745000000000001,-2.703957242499131,False
