site,model,seed,price_case,tail_premium,regime,mse_test_total_cny_per_installed_mw,event_weighted_test_total_cny_per_installed_mw,event_weighted_minus_mse_cny_per_installed_mw,mse_test_mse_pu2,event_weighted_test_mse_pu2,mse_weighted_mse_pu2,event_weighted_weighted_mse_pu2
pizhou,tcn,41,low,0.0,unconstrained,12364.804803542496,15231.754513139718,2866.949709597222,0.014289630276077903,0.014737362201948094,0.03173973793747628,0.02983227659690777
pizhou,tcn,41,low,0.0,at_least_10pct_2h,20992.463485795673,24488.213743382417,3495.750257586744,0.014289630276077903,0.014737362201948094,0.03173973793747628,0.02983227659690777
pizhou,tcn,41,low,1000.0,unconstrained,28830.153877113476,30197.647140221285,1367.4932631078082,0.014289630276077903,0.014737362201948094,0.03173973793747628,0.02983227659690777
pizhou,tcn,41,low,1000.0,at_least_10pct_2h,30552.080289145986,33041.57374927931,2489.493460133326,0.014289630276077903,0.014737362201948094,0.03173973793747628,0.02983227659690777
pizhou,tcn,41,low,5000.0,unconstrained,59167.116640222994,72628.0269574187,13460.910317195703,0.014289630276077903,0.014737362201948094,0.03173973793747628,0.02983227659690777
pizhou,tcn,41,low,5000.0,at_least_10pct_2h,59167.116640222994,64642.15351306511,5475.036872842116,0.014289630276077903,0.014737362201948094,0.03173973793747628,0.02983227659690777
pizhou,tcn,41,base,0.0,unconstrained,24729.609607084993,30463.509026279437,5733.899419194444,0.014289630276077903,0.014737362201948094,0.03173973793747628,0.02983227659690777
pizhou,tcn,41,base,0.0,at_least_10pct_2h,28366.413538664485,35547.071609088365,7180.65807042388,0.014289630276077903,0.014737362201948094,0.03173973793747628,0.02983227659690777
pizhou,tcn,41,base,1000.0,unconstrained,38584.825052456516,43942.104645530104,5357.279593073588,0.014289630276077903,0.014737362201948094,0.03173973793747628,0.02983227659690777
pizhou,tcn,41,base,1000.0,at_least_10pct_2h,37926.0303420148,44100.43161498527,6174.40127297047,0.014289630276077903,0.014737362201948094,0.03173973793747628,0.02983227659690777
pizhou,tcn,41,base,5000.0,unconstrained,64038.539077515314,74152.16775909433,10113.628681579015,0.014289630276077903,0.014737362201948094,0.03173973793747628,0.02983227659690777
pizhou,tcn,41,base,5000.0,at_least_10pct_2h,64038.539077515314,74152.16775909433,10113.628681579015,0.014289630276077903,0.014737362201948094,0.03173973793747628,0.02983227659690777
pizhou,tcn,41,high,0.0,unconstrained,43744.429438400875,57077.96360926814,13333.534170867264,0.014289630276077903,0.014737362201948094,0.03173973793747628,0.02983227659690777
pizhou,tcn,41,high,0.0,at_least_10pct_2h,43114.3136444021,57664.78734050027,14550.473696098168,0.014289630276077903,0.014737362201948094,0.03173973793747628,0.02983227659690777
pizhou,tcn,41,high,1000.0,unconstrained,53449.08272504892,67333.37134694082,13884.288621891908,0.014289630276077903,0.014737362201948094,0.03173973793747628,0.02983227659690777
pizhou,tcn,41,high,1000.0,at_least_10pct_2h,52673.93044775241,66218.14734639716,13544.21689864475,0.014289630276077903,0.014737362201948094,0.03173973793747628,0.02983227659690777
pizhou,tcn,41,high,5000.0,unconstrained,73781.38395209998,89075.95473190909,15294.570779809117,0.014289630276077903,0.014737362201948094,0.03173973793747628,0.02983227659690777
pizhou,tcn,41,high,5000.0,at_least_10pct_2h,73781.38395209998,89075.95473190909,15294.570779809117,0.014289630276077903,0.014737362201948094,0.03173973793747628,0.02983227659690777
pizhou,tcn,42,low,0.0,unconstrained,12803.891060386537,16346.779517418456,3542.8884570319187,0.014575813450916481,0.014997880870290475,0.032681178589044735,0.030922090026258422
pizhou,tcn,42,low,0.0,at_least_10pct_2h,21390.307246093806,25566.58234099882,4176.275094905013,0.014575813450916481,0.014997880870290475,0.032681178589044735,0.030922090026258422
pizhou,tcn,42,low,1000.0,unconstrained,29792.373177558748,31712.611781656477,1920.238604097729,0.014575813450916481,0.014997880870290475,0.032681178589044735,0.030922090026258422
pizhou,tcn,42,low,1000.0,at_least_10pct_2h,31408.387578083304,34405.155609631,2996.7680315476973,0.014575813450916481,0.014997880870290475,0.032681178589044735,0.030922090026258422
pizhou,tcn,42,low,5000.0,unconstrained,59325.585722641204,61010.196070224716,1684.6103475835116,0.014575813450916481,0.014997880870290475,0.032681178589044735,0.030922090026258422
pizhou,tcn,42,low,5000.0,at_least_10pct_2h,59325.585722641204,61010.196070224716,1684.6103475835116,0.014575813450916481,0.014997880870290475,0.032681178589044735,0.030922090026258422
pizhou,tcn,42,base,0.0,unconstrained,25607.782120773074,32693.55903483691,7085.7769140638375,0.014575813450916481,0.014997880870290475,0.032681178589044735,0.030922090026258422
pizhou,tcn,42,base,0.0,at_least_10pct_2h,29157.35393361544,37690.274131092,8532.920197476564,0.014575813450916481,0.014997880870290475,0.032681178589044735,0.030922090026258422
pizhou,tcn,42,base,1000.0,unconstrained,40002.999399287,46596.23267116645,6593.23327187945,0.014575813450916481,0.014997880870290475,0.032681178589044735,0.030922090026258422
pizhou,tcn,42,base,1000.0,at_least_10pct_2h,39175.43426560494,46888.22495872745,7712.790693122508,0.014575813450916481,0.014997880870290475,0.032681178589044735,0.030922090026258422
pizhou,tcn,42,base,5000.0,unconstrained,64465.01162352128,71437.76034258922,6972.7487190679385,0.014575813450916481,0.014997880870290475,0.032681178589044735,0.030922090026258422
pizhou,tcn,42,base,5000.0,at_least_10pct_2h,64465.01162352128,71437.76034258922,6972.7487190679385,0.014575813450916481,0.014997880870290475,0.032681178589044735,0.030922090026258422
pizhou,tcn,42,high,0.0,unconstrained,45458.96013795042,61457.75622246427,15998.796084513851,0.014575813450916481,0.014997880870290475,0.032681178589044735,0.030922090026258422
pizhou,tcn,42,high,0.0,at_least_10pct_2h,44691.44730865871,61937.65771127836,17246.210402619654,0.014575813450916481,0.014997880870290475,0.032681178589044735,0.030922090026258422
pizhou,tcn,42,high,1000.0,unconstrained,55484.567774414405,71460.232568148,15975.664793733595,0.014575813450916481,0.014997880870290475,0.032681178589044735,0.030922090026258422
pizhou,tcn,42,high,1000.0,at_least_10pct_2h,54709.52764064821,70484.64139709064,15775.113756442435,0.014575813450916481,0.014997880870290475,0.032681178589044735,0.030922090026258422
pizhou,tcn,42,high,5000.0,unconstrained,74743.8634252814,92292.8888873182,17549.025462036807,0.014575813450916481,0.014997880870290475,0.032681178589044735,0.030922090026258422
pizhou,tcn,42,high,5000.0,at_least_10pct_2h,74743.8634252814,92292.8888873182,17549.025462036807,0.014575813450916481,0.014997880870290475,0.032681178589044735,0.030922090026258422
pizhou,tcn,43,low,0.0,unconstrained,12478.062931274566,12866.135022898457,388.07209162389154,0.014216333834280023,0.015296763201846674,0.031726756073362034,0.03141318016200943
