epoch,optimizer_steps,train_mse,validation_normal_mse
1,25,0.100185786485672,0.0747857540845871
2,50,0.054775215312838556,0.030979948118329048
3,75,0.024152532890439032,0.01603049784898758
4,100,0.015157928131520748,0.011752402409911156
5,125,0.011860888674855232,0.009299926459789276
6,150,0.009870902001857758,0.00768170366063714
7,175,0.008586362153291702,0.006541995797306299
8,200,0.007617716211825609,0.005617579445242882
9,225,0.006788792684674263,0.004807463381439447
10,250,0.006061278134584427,0.004103255458176136
11,275,0.005453302916139364,0.003587189596146345
12,300,0.004891013354063034,0.0031267141457647085
13,325,0.0044928212650120255,0.002766163321211934
14,350,0.0041500268876552586,0.0024393165949732065
15,375,0.003864899966865778,0.002175891073420644
16,400,0.0036325506679713727,0.0019615746568888426
17,425,0.0033904374204576015,0.001783158746547997
18,450,0.003231589803472161,0.0016533470479771495
19,475,0.0030782864894717933,0.0015215255552902818
20,500,0.002931916257366538,0.0013931627618148923
21,525,0.0028142837062478067,0.0013180087553337216
22,550,0.0026841916143894194,0.0012161609483882785
23,575,0.002584980009123683,0.0011468164157122374
24,600,0.002506842212751508,0.001071919221431017
25,625,0.002427288228645921,0.0010196854127570987
26,650,0.0023688145633786917,0.0009671373991295695
27,675,0.0022721038945019245,0.0009177098399959505
28,700,0.0022264289716258643,0.0008675925200805068
29,725,0.002125174696557224,0.0008122696308419108
30,750,0.0020662255585193632,0.000790937221609056
