epoch,optimizer_steps,train_mse,validation_normal_mse
1,25,0.052766718119382855,0.03044825792312622
2,50,0.026440600231289864,0.017571641132235527
3,75,0.01742568239569664,0.013333279639482498
4,100,0.013741966634988785,0.010652207769453526
5,125,0.011442284248769283,0.008833595551550388
6,150,0.00977304883301258,0.007430167403072119
7,175,0.008482746686786414,0.006220714189112186
8,200,0.007321502324193716,0.00513833062723279
9,225,0.006311387233436108,0.004174701403826475
10,250,0.005401705410331487,0.0033836166840046644
11,275,0.00470859469845891,0.0027757445350289345
12,300,0.004137774705886841,0.0023286433424800634
13,325,0.0037329559307545425,0.002008543349802494
14,350,0.0033641872741281987,0.0017591798678040504
15,375,0.003113543018698692,0.0015681964578107
16,400,0.002939020125195384,0.0014232108369469643
17,425,0.002679517548531294,0.001237973803654313
18,450,0.0025625551491975786,0.0011293207062408328
19,475,0.0023828628752380608,0.0010745336767286062
20,500,0.0022782479226589204,0.0009765122085809708
21,525,0.002190850148908794,0.0009204802918247879
22,550,0.0021156005188822744,0.0008539991686120629
23,575,0.002031898130662739,0.0008372662705369294
24,600,0.0020041772397235034,0.0007963181706145406
25,625,0.0019131149305030703,0.0007380731985904276
26,650,0.001846981099806726,0.0006987655069679022
27,675,0.0018080394621938468,0.0006741627585142851
28,700,0.0017687554331496358,0.0006614362937398255
29,725,0.001683657420799136,0.000641426129732281
30,750,0.0016635028598830104,0.0006055156700313091
