group,pair_weighted_nmi,pair_weighted_ari,total_pairs,configuration_pairs
hill,0.6838734568989633,0.7379020296131973,243684.0,125.0
lahaute,0.7537196269578185,0.7810447720579841,34042.0,125.0
pizhou,0.7217000160901753,0.7817450697944842,274570.0,127.0
suining,0.7045658758284198,0.7647430664522499,102248.0,125.0
yandun,0.6710053844046281,0.7272888511333485,811453.0,129.0
