site,overlap_edges,iou_q10,iou_median,iou_q90,fraction_iou_ge_030,fraction_iou_ge_050,fraction_iou_ge_070
hill,8568.0,0.23307821346194163,0.38338992414912354,0.5788423153692615,0.753734827264239,0.21825396825396826,0.013772175536881419
lahaute,1632.0,0.13529854046881906,0.2849327020725759,0.4633841206885565,0.44485294117647056,0.07107843137254902,0.0
pizhou,13464.0,0.23752071823204418,0.40625,0.6032503506311361,0.7830510992275698,0.2595068330362448,0.0427807486631016
suining,5712.0,0.2340425531914893,0.39688598085544646,0.6120650764843142,0.7836134453781513,0.24002100840336135,0.029411764705882353
yandun,47736.0,0.2105263157894736,0.4166666666666667,0.7161982937845006,0.5476370035193565,0.26062091503267976,0.07977207977207977
