group,site,config_a,config_b,representation,legacy_matched_pairs,legacy_nmi_sklearn,legacy_ari_sklearn,metric_status,stored_pairs,stored_nmi,stored_ari,nmi_abs_diff,ari_abs_diff
hill,hill,adaptive_corridor,endpoint_corridor_0.025,raw25,4146,0.9980484981004192,0.9994812834982094,VALID,4146,0.998048498100419,0.9994812834982094,2.220446049250313e-16,0.0
hill,hill,adaptive_corridor,endpoint_corridor_0.025,statistics9,4146,0.9976145101563446,0.9991423041709373,VALID,4146,0.997614510156344,0.9991423041709372,6.661338147750939e-16,1.1102230246251565e-16
hill,hill,adaptive_corridor,endpoint_corridor_0.025,raw_pca6,4146,0.9980575118572945,0.9994801128257437,VALID,4146,0.9980575118572946,0.9994801128257436,1.1102230246251565e-16,1.1102230246251565e-16
hill,hill,adaptive_corridor,endpoint_corridor_0.025,gaf_pca6,4146,0.9779684465462277,0.9897160801144392,VALID,4146,0.977968446546228,0.9897160801144392,3.3306690738754696e-16,0.0
hill,hill,adaptive_corridor,endpoint_corridor_0.025,gaf_signed_pca6,4146,0.9787101927560059,0.9901554459696623,VALID,4146,0.9787101927560058,0.9901554459696624,1.1102230246251565e-16,1.1102230246251565e-16
hill,hill,adaptive_corridor,endpoint_corridor_0.025,event_row_permutation,4146,0.00018186276778652205,-0.000146847402554641,VALID,4146,0.0001818627677864,-0.0001468474025546,1.2205405956755566e-16,4.098284211995207e-17
hill,hill,adaptive_corridor,endpoint_corridor_0.025,within_event_time_permutation,4146,0.6099526245276774,0.7350073159758957,VALID,4146,0.6099526245276775,0.7350073159758957,1.1102230246251565e-16,0.0
hill,hill,adaptive_corridor,endpoint_corridor_0.050,raw25,4835,0.9968794590268842,0.9991277336287653,VALID,4835,0.9968794590268846,0.9991277336287652,3.3306690738754696e-16,1.1102230246251565e-16
hill,hill,adaptive_corridor,endpoint_corridor_0.050,statistics9,4835,0.9905088394261766,0.9965688279371159,VALID,4835,0.990508839426176,0.996568827937116,6.661338147750939e-16,1.1102230246251565e-16
hill,hill,adaptive_corridor,endpoint_corridor_0.050,raw_pca6,4835,0.9968913993278681,0.9991261255754597,VALID,4835,0.9968913993278676,0.9991261255754595,4.440892098500626e-16,1.1102230246251565e-16
