window_id,site,turbine,stratum,anchor,source,scale,source_clock
M130,pizhou,HRPZ#05(F05),steady_screen,2024-12-02 12:00:00+00:00,data/event_clean_v2/pizhou/HRPZ#05(F05).csv.gz,2681.320462851,UTC (cleaned source)
M131,sdwpf,23,steady_screen,2021-07-31 04:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.81,source clock (timezone not reverified)
M132,greece,WT02,steady_screen,2020-06-02 06:00:00,data/external_samples/greece_smd10towfgr/clean_native/WT02_data.csv.gz,3000.4,source clock (timezone unresolved)
M133,sdwpf,46,rising_screen,2021-09-03 13:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.59,source clock (timezone not reverified)
M134,greece,WT01,steady_screen,2020-04-26 03:00:00,data/external_samples/greece_smd10towfgr/clean_native/WT01_data.csv.gz,3000.4,source clock (timezone unresolved)
M135,pizhou,HRPZ#05(F05),steady_screen,2024-10-31 22:30:00+00:00,data/event_clean_v2/pizhou/HRPZ#05(F05).csv.gz,2681.320462851,UTC (cleaned source)
M136,yandun,102,steady_screen,2024-07-31 09:00:00+00:00,data/event_clean_v2/yandun/102.csv.gz,2030.0348999999999,UTC (cleaned source)
M137,yandun,1,turning_screen,2024-07-11 03:30:00+00:00,data/event_clean_v2/yandun/1.csv.gz,1531.2685,UTC (cleaned source)
M138,yandun,103,turning_screen,2024-07-12 03:30:00+00:00,data/event_clean_v2/yandun/103.csv.gz,2039.7018249999999,UTC (cleaned source)
M139,greece,WT05,rising_screen,2020-06-05 10:30:00,data/external_samples/greece_smd10towfgr/clean_native/WT05_data.csv.gz,3000.4,source clock (timezone unresolved)
M140,pizhou,HRPZ#06(F06),random_screen,2024-11-28 02:00:00+00:00,data/event_clean_v2/pizhou/HRPZ#06(F06).csv.gz,2680.939464558167,UTC (cleaned source)
M141,pizhou,HRPZ#05(F05),steady_screen,2024-09-16 23:00:00+00:00,data/event_clean_v2/pizhou/HRPZ#05(F05).csv.gz,2681.320462851,UTC (cleaned source)
M142,greece,WT01,steady_screen,2020-06-21 10:00:00,data/external_samples/greece_smd10towfgr/clean_native/WT01_data.csv.gz,3000.4,source clock (timezone unresolved)
M143,greece,WT04,steady_screen,2020-05-11 20:30:00,data/external_samples/greece_smd10towfgr/clean_native/WT04_data.csv.gz,3000.3,source clock (timezone unresolved)
M144,sdwpf,91,turning_screen,2021-06-10 13:00:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.49,source clock (timezone not reverified)
