turbine,frequency,grid_rows,usable_rows,threshold_4h_candidates,median_abs_change,native_gaps_gt15min
39,30min,8575,3443,516,0.0549383333333333,1
39,60min,4288,1645,207,0.0495,1
40,15min,17149,7125,1110,0.054,1
40,30min,8575,3488,506,0.05199999999999999,1
40,60min,4288,1669,201,0.04848000000000002,1
41,15min,17149,7249,1154,0.05360999999999999,1
41,30min,8575,3559,531,0.051700000000000024,1
41,60min,4288,1710,223,0.04516666666666667,1
42,15min,17149,7006,1129,0.05466666666666667,1
42,30min,8575,3439,507,0.053406666666666686,1
42,60min,4288,1655,202,0.04716666666666667,1
43,15min,17149,7182,1155,0.055496666666666666,1
43,30min,8575,3515,539,0.052,1
43,60min,4288,1688,209,0.04875,1
44,15min,17149,7167,1175,0.058666666666666666,1
44,30min,8575,3519,531,0.05566666666666667,1
44,60min,4288,1700,228,0.04974583333333335,1
45,15min,17149,7026,1121,0.056,1
45,30min,8575,3460,519,0.052586666666666664,1
45,60min,4288,1668,218,0.046040833333333336,1
46,15min,17149,6916,1052,0.053499999999999964,1
46,30min,8575,3395,482,0.051333333333333335,1
46,60min,4288,1625,195,0.04475333333333333,1
47,15min,17149,7016,1120,0.05134666666666666,1
47,30min,8575,3445,535,0.05164999999999999,1
47,60min,4288,1659,218,0.046,1
48,15min,17149,6904,1203,0.057999999999999996,1
48,30min,8575,3389,570,0.05733333333333333,1
48,60min,4288,1638,215,0.05216666666666665,1
49,15min,17149,7083,1043,0.05080666666666667,1
49,30min,8575,3484,483,0.04908333333333335,1
49,60min,4288,1675,194,0.04315833333333333,1
50,15min,17053,6945,863,0.042466666666666666,1
50,30min,8527,3405,402,0.04200000000000001,1
50,60min,4264,1633,167,0.03813833333333334,1
51,15min,17607,7296,1031,0.04733333333333334,1
51,30min,8804,3576,481,0.04680833333333331,1
51,60min,4402,1707,193,0.04148,1
52,15min,17607,7441,1071,0.04794666666666665,1
52,30min,8804,3656,501,0.047179999999999986,1
52,60min,4402,1767,213,0.042351666666666676,1
53,15min,17607,7371,1161,0.05527333333333333,1
53,30min,8804,3632,538,0.05334,1
53,60min,4402,1755,220,0.049784999999999996,1
54,15min,17607,7409,1146,0.049846666666666706,1
54,30min,8804,3626,524,0.04896333333333333,1
54,60min,4402,1741,211,0.045280833333333326,1
55,15min,17607,7511,1010,0.047776666666666676,1
55,30min,8804,3685,477,0.04633333333333333,1
55,60min,4402,1770,202,0.04311583333333334,1
56,15min,17607,7438,1336,0.059980000000000006,1
56,30min,8804,3646,618,0.05633333333333329,1
56,60min,4402,1756,250,0.05270916666666668,1
57,15min,17607,7650,1084,0.04933333333333333,1
57,30min,8804,3764,492,0.045829999999999996,1
57,60min,4402,1808,203,0.04209833333333328,1
58,15min,17607,7339,1006,0.04666666666666667,1
58,30min,8804,3584,471,0.044726666666666665,1
58,60min,4402,1714,188,0.040763333333333346,1
59,15min,17607,7510,1045,0.04545000000000001,1
59,30min,8804,3684,468,0.04533333333333333,1
59,60min,4402,1784,187,0.04249999999999999,1
60,15min,17053,7071,1116,0.05264,1
60,30min,8527,3469,510,0.052168333333333324,1
60,60min,4264,1669,214,0.046666666666666634,1
