site,factor,seed,split,all_nmae_pct,ramp_nmae_pct,ramp_n,optimizer_steps,selected_power,selected_energy,test_cost,test_no_battery_cost,test_saving
pizhou,8,41,economics_base,,,0,351,0.0,0.0,37787.569637165,37787.569637165,0.0
pizhou,8,41,economics_high,,,0,351,0.0,0.0,75575.13927433,75575.13927433,0.0
pizhou,8,42,validation,10.441901206970215,33.95650863647461,121,405,,,,,
pizhou,8,42,test,10.886580467224121,32.05245590209961,189,405,,,,,
pizhou,8,42,economics_low,,,0,405,0.0,0.0,20574.608218970243,20574.608218970243,0.0
pizhou,8,42,economics_base,,,0,405,0.0,0.0,41149.216437940486,41149.216437940486,0.0
pizhou,8,42,economics_high,,,0,405,0.0,0.0,82298.43287588097,82298.43287588097,0.0
pizhou,8,43,validation,8.751696586608887,34.31192398071289,121,459,,,,,
pizhou,8,43,test,9.237014770507812,31.15900230407715,189,459,,,,,
pizhou,8,43,economics_low,,,0,459,0.0,0.0,15569.684325430044,15569.684325430044,0.0
pizhou,8,43,economics_base,,,0,459,0.0,0.0,31139.368650860088,31139.368650860088,0.0
pizhou,8,43,economics_high,,,0,459,0.0,0.0,62278.737301720175,62278.737301720175,0.0
yandun,0,41,validation,11.93930435180664,36.12910461425781,38,160,,,,,
yandun,0,41,test,8.62502384185791,36.45568084716797,78,160,,,,,
yandun,0,41,economics_low,,,0,160,0.0,0.0,6579.665348988492,6579.665348988492,0.0
yandun,0,41,economics_base,,,0,160,0.0,0.0,13159.330697976984,13159.330697976984,0.0
yandun,0,41,economics_high,,,0,160,0.0,0.0,26318.661395953968,26318.661395953968,0.0
yandun,0,42,validation,11.91854476928711,37.792667388916016,38,160,,,,,
yandun,0,42,test,8.544650077819824,36.92523956298828,78,160,,,,,
yandun,0,42,economics_low,,,0,160,0.0,0.0,6551.830491202418,6551.830491202418,0.0
yandun,0,42,economics_base,,,0,160,0.0,0.0,13103.660982404836,13103.660982404836,0.0
