0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.9536901941512563,0.7393533327199456,0.5830100583044721,0.5053838632335589,-0.15216735170322127,-0.023977767949670298,0.10679671067949528,0.24036826107330403,0.37716309362097483,0.49629641225747806,0.6192766692955639,0.7482219771666165,0.8905313872048088,0.8488852135540168,0.8095836229646132,0.7717444589251657,0.7349415233461374,0.7521225949092553,0.7694987759093095,0.7870974397284558,0.8049532947406839,0.7723227625162219,0.988354742527008,0.950001177217878,0.1716759203846853
0.7393533327199456,0.3884455981633721,0.18813542623479612,0.09651099892050619,-0.5529712478224469,-0.4413884079032267,-0.32041214338366114,-0.18927141029293837,-0.04641737382435812,0.08605561469091316,0.23250825327177865,0.4006376941726529,0.6173318512802132,0.548615485770601,0.4884190950634995,0.433537279683689,0.3824210851047496,0.4060355386791732,0.430359178070397,0.45549114843349064,0.48155790771272444,0.4343570262755836,0.8332003355026245,0.7311965567222007,-0.2576938815355706
0.5830100583044721,0.18813542623479612,-0.02041605347332609,-0.1127788910658849,-0.7142884758531829,-0.6184951489038326,-0.5105680718413537,-0.3895112655350125,-0.25332405660842094,-0.12320476749570353,0.024972427842041234,0.20115015693538807,0.44006029256184,0.36257234019057405,0.29608985588548364,0.23647238008102733,0.18171906231930318,0.20692501527679574,0.2330470658880875,0.26021323785937006,0.2885869253377487,0.23735635719276,0.699851393699646,0.5731899973522913,-0.4531675630322791
0.5053838632335589,0.09651099892050619,-0.1127788910658849,-0.20417532851723053,-0.7759430805533453,-0.6885067584322937,-0.5878893480538687,-0.4730089012402767,-0.3416920542661668,-0.2144419804306006,-0.06757531209817569,0.10970878722178984,0.355140110557487,0.2748413535983536,0.2064980062128982,0.1456122358928727,0.09001047883019081,0.11557020091072023,0.1421251023497634,0.16981424192971795,0.19881513277779922,0.14651235871636292,0.6308029294013977,0.4949625135464674,-0.5336557019532823
-0.15216735170322127,-0.5529712478224469,-0.7142884758531829,-0.7759430805533453,-1.0,-0.9917192160720949,-0.9664512476615682,-0.9228017293762805,-0.8579697293182359,-0.7825231605606808,-0.6817956208292373,-0.5418674853970766,-0.31411432036721126,-0.3932492029513708,-0.4569765482115707,-0.5110928603288549,-0.5583993775143055,-0.5369002197950841,-0.5141184719191355,-0.48987501819059004,-0.46394099088804513,-0.5103105829756507,0.0,-0.16405096626472704,-0.9475576435195223
-0.023977767949670298,-0.4413884079032267,-0.6184951489038326,-0.6885067584322937,-0.9917192160720949,-0.9670140070533009,-0.9254622807561294,-0.8656812182269696,-0.7848930814796701,-0.6960830537932459,-0.5822014013910555,-0.42944376495099096,-0.18958835900678206,-0.2719146895954498,-0.33896106169286866,-0.39647599519088245,-0.44723752419748636,-0.4241090073955294,-0.3997085289435314,-0.37385844105453786,-0.3463317865207555,-0.3956405194309048,0.1284250617027282,-0.036007354127803565,-0.8986684121289915
0.10679671067949528,-0.32041214338366114,-0.5105680718413537,-0.5878893480538687,-0.9664512476615682,-0.9254622807561294,-0.8680560282132036,-0.7928849038598617,-0.6972419435686705,-0.5963500817354425,-0.47102539396240395,-0.30781524156533074,-0.059726479737641586,-0.14389997948134994,-0.21318283024546503,-0.2731771013467529,-0.32659003763985067,-0.3021973719135556,-0.2765651606395135,-0.24952026661105448,-0.22084153095220038,-0.2723017158697172,0.2568501234054565,0.0948230220376112,-0.8336828442400764
0.24036826107330403,-0.18927141029293837,-0.3895112655350125,-0.4730089012402767,-0.9228017293762805,-0.8656812182269696,-0.7928849038598617,-0.7031260634797079,-0.5938199922871725,-0.48223312117363726,-0.34731692632508604,-0.1762263539713328,0.07590930757770542,-0.008656739529989299,-0.07900466158551417,-0.1404835285998542,-0.1956783050744002,-0.1704166782636482,-0.1439714980023779,-0.11617743008830117,-0.0868233209206905,-0.13958261287594426,0.3852751851081848,0.22866890922142386,-0.7512796982675962
0.37716309362097483,-0.04641737382435812,-0.25332405660842094,-0.3416920542661668,-0.8579697293182359,-0.7848930814796701,-0.6972419435686705,-0.5938199922871725,-0.47222411285281396,-0.3515403780264953,-0.2091663353768074,-0.0331593682446617,0.21819881575879274,0.13491649449503973,0.06485340447750554,0.003036259345146619,-0.05293828787283428,-0.027263105494142348,-0.0004875302047777086,0.027542175078203113,0.05702231069394004,0.0039461347401552604,0.5137002468109131,0.36598980300794215,-0.6488049297826274
0.49629641225747806,0.08605561469091316,-0.12320476749570353,-0.2144419804306006,-0.7825231605606808,-0.6960830537932459,-0.5963500817354425,-0.48223312117363726,-0.3515403780264953,-0.22468499362775418,-0.07804666392048298,0.09926703983037488,0.3453058633183638,0.26473145352929045,0.1962138356545502,0.13521703669992596,0.07954905999813033,0.1051351066540927,0.13172477270206923,0.15945829454476196,0.18851469225260914,0.13611850523143565,0.622621476650238,0.485812435744571,-0.542505375868454
