relative_hours,power_training_reference_units
-2.0,0.9581851189417068
-1.5,0.886781051882952
-1.0,0.8254121326341012
-0.5,0.7936351209565685
0.0,0.5033314581564867
0.5,0.7397429606153219
1.0,0.9402508119922268
1.5,0.8851113514637936
2.0,0.91101851779963
2.5,0.8991100596761437
3.0,0.9635444050322072
3.5,0.9573093644181206
4.0,0.6504085751816728
