left_minutes,right_minutes,left_test_events,right_test_events,matched_pairs,left_coverage,right_coverage,nmi,ari,k,matching_iou
15,30,19635,12328,10828,0.5514642220524574,0.8783257624918884,0.32610725679303276,0.3544011643142625,4,0.5
15,60,19635,7169,5126,0.26106442577030814,0.71502301576231,0.2571821303253347,0.25744796370415757,4,0.5
30,60,12328,7169,6087,0.4937540558079169,0.8490723950341749,0.33897383060862096,0.36805264714958424,4,0.5
