term,estimate,cluster_se,pvalue,bh_qvalue
Intercept,-2.2673122279382647,0.4249608334215487,9.53635934927189e-08,1.0966813251662674e-06
C(hour)[T.1],-0.10837288230728855,0.1070550469705509,0.31138990988092297,0.3836768532461372
C(hour)[T.2],0.24933699668598916,0.16035114622023783,0.11995949019857721,0.1940407893797616
C(hour)[T.3],0.3312577749810313,0.1909909575355515,0.08284429597952947,0.1483840630064101
C(hour)[T.4],0.5660890227262648,0.20620886671829744,0.0060470060970070245,0.017446468414245835
C(hour)[T.5],1.0212365787277113,0.22203490076453167,4.236247480027093e-06,2.657282510198813e-05
C(hour)[T.6],1.397205662969209,0.2547213556617558,4.129277572602548e-08,5.698403050191515e-07
C(hour)[T.7],1.5705991448263825,0.2654129167781588,3.267355813804744e-09,7.514918371750911e-08
C(hour)[T.8],1.5435317156384263,0.2447812338852539,2.8678311800337114e-10,9.894017571116304e-09
C(hour)[T.9],1.3989881284481893,0.2448070016204097,1.099253006741935e-08,1.8962114366298377e-07
C(hour)[T.10],1.0227259532413266,0.25330833658282,5.4029712296103184e-05,0.00031067084570259333
C(hour)[T.11],1.00217564572085,0.21407256205327205,2.8481619945708973e-06,1.965231776253919e-05
C(hour)[T.12],0.9723732456774823,0.20756146849514853,2.803041167019777e-06,1.965231776253919e-05
C(hour)[T.13],0.910649296119854,0.19428367148134007,2.769482786424789e-06,1.965231776253919e-05
C(hour)[T.14],0.7913962490077923,0.16561015974181598,1.7645881327700363e-06,1.7393797308733214e-05
C(hour)[T.15],0.6029596016575277,0.18906676129249148,0.0014269876022240306,0.005470119141858784
C(hour)[T.16],0.3866545276223136,0.2096561487220531,0.06514937201741645,0.12486962970004821
C(hour)[T.17],0.28207171751738264,0.22291099150644295,0.20572773594429128,0.27298488038761726
C(hour)[T.18],0.26693242542627416,0.21361406559035948,0.21144520856234583,0.2752777243547521
C(hour)[T.19],0.4904222834393148,0.1938520815391341,0.011410191332868498,0.027148386274756083
C(hour)[T.20],0.6139932032548941,0.20550709398805178,0.0028108684418648466,0.00969749612443372
C(hour)[T.21],0.6638651689912669,0.1833508665130891,0.0002937656189136226,0.0014478448360742827
C(hour)[T.22],0.48413578918807043,0.15073784019674746,0.0013191837101927102,0.005470119141858784
C(hour)[T.23],0.28046952150991045,0.12505254272350866,0.024908848465193728,0.05544227561607636
C(month)[T.2],-22.765645010860663,1.0181040596005286,9.474873256130552e-111,6.537662546730081e-109
C(month)[T.7],-0.08274526193974906,0.21896205163064694,0.7055065699360524,0.7726976718347242
C(month)[T.8],-0.49129946391647233,0.2601685666031845,0.05897374461732463,0.1162625251027257
