model,parameters,cpu_ms_per_sequence_median,cpu_ms_per_sequence_min,cpu_ms_per_sequence_max,batch_size,timed_sequences,repeats,cpu_threads
timesnet,18697,0.08912181624964433,0.08292641499792808,0.10262220875119965,64,800,5,2
kanad,16013,0.01734055249926314,0.01703421000001981,0.017404073748821247,64,800,5,2
tcn_ae,10944,0.0031807950017537223,0.003083585002059408,0.003642468750513217,64,800,5,2
transformer_ae,18856,0.07061572499878821,0.0702469125008065,0.08832000749862345,64,800,5,2
mean_rule,0,0.0004015474996776902,0.00038363875091818045,0.0004530699993665621,800,800,5,2
