model,f1,precision,recall,delay,steps,config
kanad,0.7099602513108731,0.6980293298588537,0.7258333333333334,1.963028457911302,750.0,h08_z08
timesnet,0.6308481204090399,0.6802806163526537,0.5891666666666667,3.089196933877785,750.0,h08_z08
kanad,0.7951307556138891,0.829251641267826,0.765,1.8695487065643295,750.0,h16_z16
timesnet,0.6088398898959332,0.7418449569324812,0.5183333333333333,2.913826556054218,750.0,h16_z16
kanad,0.751264774774865,0.7290176786418548,0.7758333333333333,1.8914057793459291,650.0,h32_z16
timesnet,0.615267637087175,0.768067420776516,0.5158333333333334,2.692845034770769,750.0,h32_z16
