model,selected_config,validation_f1_mean,validation_f1_sd,test_f1_mean,test_f1_sd,test_precision_mean,test_recall_mean,test_delay_mean_steps,seeds
timesnet,h08_z08,0.6807402522104579,0.03334459779246909,0.6308481204090398,0.024436832019861406,0.6802806163526537,0.5891666666666667,3.0891969338777847,3
kanad,h16_z16,0.8235581271557008,0.06496768016059701,0.7951307556138891,0.09713132531848301,0.8292516412678261,0.765,1.8695487065643295,3
tcn_ae,sequence_h08_z08,0.7565018865881594,0.009186067160282332,0.7293393135787888,0.0066620946180044665,0.7158791432383844,0.7433333333333333,1.5777293290870975,3
transformer_ae,sequence_h08_z08,0.7175485237084577,0.020925334490447707,0.6600780448116669,0.018621632023569156,0.5998142766969331,0.735,0.5614092268934026,3
mean_rule,mean_w4,0.7738693467336684,,0.7409261576971214,,0.7418546365914787,0.74,1.162162162162162,1
