epoch,optimizer_steps,train_mse,validation_normal_mse
1,25,0.7734738278388977,0.38358595967292786
2,50,0.21374909669160844,0.09376081824302673
3,75,0.08283432349562644,0.06910747289657593
4,100,0.06932618871331214,0.06365144997835159
5,125,0.06391881689429284,0.058058783411979675
6,150,0.05712192669510841,0.05104144290089607
7,175,0.04885004237294197,0.04248674958944321
8,200,0.042137837260961535,0.038260865956544876
9,225,0.03849127233028412,0.03540541231632233
10,250,0.036456937193870546,0.034162186086177826
11,275,0.03514477118849754,0.033052001148462296
12,300,0.03428086586296558,0.03244414180517197
13,325,0.03355707973241806,0.032047089189291
14,350,0.03302843317389488,0.031197713688015938
15,375,0.03286609023809433,0.03070981428027153
16,400,0.0317166018486023,0.030000245198607445
17,425,0.031023946329951285,0.028919458389282227
18,450,0.030025664716959,0.027974233031272888
19,475,0.029020668268203736,0.027244361117482185
20,500,0.02813155859708786,0.025967484340071678
21,525,0.027345947697758676,0.02572660520672798
22,550,0.026604325994849205,0.02450372651219368
23,575,0.026191645935177803,0.024591408669948578
24,600,0.025872902423143388,0.02401590533554554
25,625,0.02528783932328224,0.023770684376358986
26,650,0.024910682737827303,0.023293208330869675
27,675,0.02469251424074173,0.023402448743581772
28,700,0.024517635405063628,0.023205768316984177
29,725,0.024448587819933892,0.023354005068540573
30,750,0.024328869357705115,0.022940149530768394
