epoch,optimizer_steps,train_mse,validation_normal_mse
1,25,0.9965176463127137,0.8877134919166565
2,50,0.8751776194572449,0.6216893196105957
3,75,0.3705813652276993,0.12265406548976898
4,100,0.09154377490282059,0.07039470970630646
5,125,0.06955334231257439,0.06586575508117676
6,150,0.06693634524941444,0.06474586576223373
7,175,0.06608175605535507,0.0640002191066742
8,200,0.06541547551751137,0.06347591429948807
9,225,0.06479218274354935,0.06285334378480911
10,250,0.06411257594823837,0.06211978942155838
11,275,0.06332574531435967,0.06125772371888161
12,300,0.06230915769934654,0.06019222363829613
13,325,0.060977309793233875,0.05865592136979103
14,350,0.05908503279089928,0.05644525587558746
15,375,0.05631941631436348,0.05344417691230774
16,400,0.05255075991153717,0.04893103986978531
17,425,0.04729014202952385,0.04367782548069954
18,450,0.04126594841480255,0.03782832622528076
19,475,0.035968906581401824,0.033743634819984436
20,500,0.03298021204769611,0.03219107910990715
21,525,0.03197006218135357,0.03167428821325302
22,550,0.03163238361477852,0.031410034745931625
23,575,0.03140486881136894,0.031202023848891258
24,600,0.031231308951973916,0.031061941757798195
25,625,0.031064536720514298,0.03095438703894615
26,650,0.030918055847287178,0.03083609975874424
27,675,0.030760830491781233,0.030707845464348793
28,700,0.030601394176483155,0.030489439144730568
29,725,0.030424530208110808,0.030344409868121147
30,750,0.030259156525135042,0.030235156416893005
