epoch,optimizer_steps,train_mse,validation_normal_mse
1,25,0.6685027003288269,0.2862914502620697
2,50,0.1753163093328476,0.09268365055322647
3,75,0.08256370157003402,0.0702233612537384
4,100,0.07143285483121872,0.0668732225894928
5,125,0.06881899461150169,0.06525052338838577
6,150,0.06655495464801789,0.0629158541560173
7,175,0.06429784536361695,0.06009141355752945
8,200,0.060622053742408755,0.05513459071516991
9,225,0.054181258976459507,0.04678601771593094
10,250,0.04595907479524612,0.03981875255703926
11,275,0.03979302793741226,0.0359143428504467
12,300,0.03654496073722839,0.03389216214418411
13,325,0.034598390012979506,0.03292188420891762
14,350,0.03366412006318569,0.032361965626478195
15,375,0.03296745777130127,0.03153141587972641
16,400,0.03206183545291424,0.03034036047756672
17,425,0.031181683614850044,0.0294108334928751
18,450,0.030170793607831002,0.028303347527980804
19,475,0.029275183603167533,0.02708466164767742
20,500,0.028022968024015427,0.026065830141305923
21,525,0.027072171196341515,0.025252357125282288
22,550,0.026465837582945823,0.024639854207634926
23,575,0.0258707071095705,0.02411246858537197
24,600,0.025490689352154733,0.02363344468176365
25,625,0.025009156689047813,0.02343127317726612
26,650,0.024815412387251854,0.02346288412809372
27,675,0.024603474214673043,0.02313806302845478
28,700,0.0245594722032547,0.023022601380944252
29,725,0.024378776103258133,0.023003553971648216
30,750,0.024223732352256774,0.022916294634342194
